time,ax,ay,az
2027291,-0.24633,0.09684,9.98684
2027305,-0.07467,-0.40234,13.00134
2027320,0.07993,0.45247,11.98103
2027335,-0.46807,0.13317,10.05401
2027349,0.22411,-0.42641,10.68843
2027365,0.79697,0.27817,13.6423
2027380,-0.30891,0.24948,11.11021
2027396,-0.06369,-0.49372,10.55087
2027411,0.47604,0.42461,13.81718
2027427,-0.27045,0.10069,10.04858
2027443,-0.34316,-0.55199,9.88635
2027457,0.72808,0.17488,13.60462
2027472,-0.07043,0.41607,11.4569
2027487,-0.15934,-0.30582,8.8113
2027502,0.45243,0.09723,13.04905
2027518,0.03362,0.30627,12.53627
2027533,-0.25486,-0.22641,9.42299
2027547,0.15173,0.0125,11.71145
2027563,0.5423,0.57651,12.44724
2027578,-0.38038,-0.08084,10.14737
2027593,-0.20649,-0.17663,10.61359
2027607,0.51661,0.45024,13.94623
2027622,-0.46855,0.09272,11.31016
2027637,-0.11237,-0.40144,9.76235
2027653,0.65304,0.52788,13.61913
2027670,-0.43736,0.01996,10.69522
2027686,-0.26069,-0.46923,9.53931
2027704,0.46044,0.62411,13.77062
2027719,-0.56733,0.05382,11.42619
2027733,-0.32159,-0.29213,8.84961
2027746,0.42308,0.46033,13.04456
2027760,0.26056,0.18007,12.65606
2027775,-0.32001,-0.50625,10.81701
2027790,0.01363,0.43326,11.24089
2027805,0.48102,0.18296,14.06554
2027820,-0.65171,-0.48021,10.90136
2027834,-0.20125,0.00818,9.76344
2027852,0.56383,0.28713,14.46042
2027865,-0.43736,-0.24059,11.0543
2027880,-0.2653,-0.09223,8.79783
2027895,0.35119,0.55803,13.08996
2027910,-0.43995,-0.17769,11.67424
2027925,-0.25203,-0.24754,9.20636
2027941,0.48418,0.70416,12.57639
2027955,0.10019,0.05649,12.96061
2027970,-0.29264,-0.18131,10.38573
2027986,0.23517,0.69754,11.3576
2028001,0.32592,0.12631,14.07596
2028017,-0.49947,-0.25952,10.7999
2028034,0.15543,0.81007,11.10519
2028051,0.46143,0.09466,13.30201
2028067,-0.29002,-0.1215,10.50617
2028082,-0.09573,0.49119,10.86211
2028096,0.53546,0.07014,13.57932
2028109,-0.75876,-0.4402,11.50346
2028123,-0.22503,0.36729,8.98678
2028138,0.75692,0.35682,12.34454
2028153,-0.11922,-0.37227,11.62016
2028168,-0.36456,0.1361,9.87414
2028183,0.39277,0.40992,11.33826
2028198,0.17367,-0.16253,12.38116
2028211,-0.49325,-0.17869,10.69781
2028226,-0.01202,0.53057,9.98672
2028241,0.61321,0.0485,13.86064
2028256,-0.65182,-0.09636,11.55011
2028273,-0.24485,0.5835,9.65704
2028288,0.71006,-0.01152,13.97336
2028303,-0.44877,-0.26717,11.47687
2028316,-0.2884,0.41291,10.01787
2028330,0.44347,0.17364,12.0313
2028344,0.12972,-0.42234,13.67071
2028359,-0.52515,0.16052,10.20329
2028373,-0.09446,0.52253,9.98421
2028387,0.34616,-0.17164,13.52196
2028401,-0.74015,-0.04972,11.40866
2028416,-0.25881,0.6252,8.94857
2028433,0.63308,0.03486,12.68021
2028448,-0.55474,-0.20305,11.37961
2028465,-0.4388,0.31902,9.53312
2028479,0.43709,-0.06246,12.02155
2028494,-0.39511,-0.08915,12.54165
2028509,-0.32185,0.34515,10.12291
2028523,0.21704,0.0868,11.27777
2028541,-0.1187,-0.24203,13.38898
2028559,-0.29254,0.36499,10.41777
2028574,0.22746,0.11655,12.0177
2028589,-0.20196,-0.29619,13.05174
2028605,-0.261,0.47404,10.68539
2028619,0.04436,0.18675,11.0062
2028633,0.39406,-0.25328,13.81646
2028647,-0.28857,0.63115,11.53783
2028661,-0.02664,0.19886,9.86833
2028676,0.68334,-0.40511,12.31343
2028693,-0.41747,0.19063,11.88501
2028707,-0.03253,0.22778,9.69239
2028722,0.60609,-0.33818,11.61452
2028738,-0.05162,-0.09134,13.08577
2028754,-0.12423,0.29716,10.76589
2028772,0.63748,-0.40832,12.25417
2028787,-0.26433,0.37796,13.13046
2028802,-0.17082,0.40965,10.54141
2028816,0.22157,-0.1547,10.99625
2028830,0.22619,-0.02352,14.02167
2028845,-0.45762,0.57251,11.39258
2028860,-0.04643,-0.14096,9.45382
2028874,0.53819,-0.10012,13.63198
2028889,-0.48614,0.49315,11.49063
2028904,-0.08948,0.15359,9.10628
2028922,0.4828,-0.21356,13.0454
2028939,-0.30449,0.49972,11.58218
2028954,-0.15177,-0.05678,9.87723
2028969,0.44073,-0.30503,12.11574
2028983,-0.45796,0.60145,12.66328
2028999,-0.23368,0.24868,9.71491
2029013,0.48768,-0.54041,10.80773
2029027,-0.04349,0.27427,13.31361
2029042,-0.32002,0.19717,10.73238
2029057,0.07097,-0.53393,9.07189
2029072,0.25579,0.26818,13.48676
2029088,-0.40544,0.36326,11.52717
2029102,-0.12621,-0.55403,8.9229
2029117,0.67305,0.04374,12.19825
2029134,-0.36484,0.19805,11.44113
2029149,-0.25672,-0.50468,9.70331
2029163,0.34216,-0.03571,11.91621
2029178,-0.60866,0.5664,13.34293
2029196,-0.38814,-0.37552,10.00693
2029212,0.44166,0.07315,11.91589
2029229,-0.60478,0.28338,12.46854
2029245,-0.29376,-0.47845,10.2618
2029260,0.61702,0.06801,11.36155
2029273,-0.40884,0.80329,13.71505
2029288,-0.46506,0.06957,10.32978
2029304,0.13375,-0.14497,10.09145
2029320,-0.20946,0.46769,14.46186
2029334,-0.56975,0.01143,11.67437
2029348,-0.01762,-0.37548,9.87924
2029364,0.16519,0.67087,13.64358
2029381,-0.38933,-0.10338,12.56235
2029396,0.03608,-0.32826,9.03188
2029411,0.53953,0.54414,12.65544
2029426,-0.4346,0.0389,12.51961
2029441,-0.19608,-0.34651,9.38887
2029455,0.64108,0.40736,10.90522
2029470,-0.44401,0.37969,13.17774
2029486,0.06495,-0.29946,10.02684
2029502,0.85603,0.5031,9.8532
2029516,0.0622,0.35594,13.19873
2029532,-0.42085,-0.33449,11.15131
2029548,0.48005,0.28767,10.10275
2029564,-0.12552,0.05421,13.87725
2029579,-0.3485,-0.45203,10.6984
2029595,0.39827,0.16664,9.62976
2029610,0.15967,0.1806,13.01241
2029626,-0.41594,-0.37568,11.51069
2029642,0.1856,0.1641,8.91095
2029658,0.20742,0.2927,12.54176
2029673,-0.43768,-0.33987,11.63316
2029689,0.14615,0.1485,9.89546
2029705,0.41163,0.30095,12.66007
2029719,-0.54153,-0.22289,12.87036
2029734,-0.058,0.07874,10.37479
2029748,0.82333,0.52533,10.50544
2029764,-0.4592,0.00385,13.69457
2029781,-0.02196,-0.0528,10.27862
2029798,0.82782,0.3057,11.8273
2029815,-0.25096,-0.34224,13.27012
2029830,0.17947,0.07187,10.52161
2029845,0.89264,0.35339,10.41483
2029859,-0.14805,-0.11018,13.84114
2029872,-0.28902,-0.35072,11.37712
2029887,0.4648,0.37768,9.53858
2029903,0.28498,0.12962,12.60967
2029916,-0.65695,-0.39561,12.21402
2029931,0.05412,0.3677,10.23528
2029946,0.56011,0.22854,10.91954
2029962,-0.33936,-0.26506,12.08439
2029977,-0.06241,0.26336,10.45905
2029991,0.62991,0.31598,9.91897
2030007,-0.54928,-0.50246,13.14918
2030021,-0.31743,0.07304,10.86781
2030037,0.55754,0.27541,10.01141
2030052,-0.40798,-0.34365,13.50334
2030065,-0.36054,-0.09464,11.87137
2030080,0.27293,0.451,9.61596
2030096,0.37827,-0.17821,12.7298
2030111,-0.21507,-0.17811,12.82152
2030126,-0.10172,0.59734,10.75381
2030142,0.36736,0.08356,11.66206
2030156,-0.53119,-0.0879,13.07402
2030170,-0.0784,0.4618,10.78723
2030185,0.69004,0.05899,9.64297
2030201,-0.32343,-0.39314,13.22078
2030216,-0.26124,0.28409,11.202
2030231,0.37802,0.2077,9.7959
2030246,-0.24023,-0.45884,13.42919
2030260,-0.30055,0.22497,12.29624
2030275,0.41956,0.42566,9.91727
2030289,0.65757,-0.18266,11.63748
2030303,-0.37628,0.07565,13.83709
2030320,-0.07881,0.52584,11.17562
2030336,0.36157,-0.19738,10.65522
2030352,-0.54423,0.16021,13.38814
2030367,-0.01773,0.64121,10.25135
2030382,0.54048,-0.13229,9.68812
2030397,-0.34805,-0.03559,13.82358
2030411,-0.13059,0.68204,11.56662
2030426,0.34911,0.04193,9.38478
2030443,-0.25644,-0.33901,12.86487
2030460,-0.36859,0.30632,10.78264
2030476,0.58452,-0.12988,9.0257
2030494,-0.46859,-0.0667,13.67898
2030510,-0.33132,0.54638,11.74131
2030525,0.39963,-0.15252,9.75426
2030542,-0.56274,0.08039,14.7105
2030558,0.0507,0.52433,11.54508
2030574,0.73312,-0.33462,9.48758
2030589,-0.18276,-0.06046,13.08695
2030603,-0.02638,0.6417,12.16513
2030618,0.29441,0.19787,9.39582
2030633,-0.03149,-0.12313,11.95824
2030651,-0.28671,0.60466,12.50449
2030665,0.26161,-0.10668,9.75566
2030679,0.416,-0.31837,10.73385
2030694,-0.2733,0.61276,13.80066
2030711,0.15593,0.19932,9.80804
2030724,0.56115,-0.40303,9.04472
2030739,-0.54498,0.48286,13.72151
2030754,-0.27649,0.35765,10.73297
2030768,0.47831,-0.4575,8.70974
2030783,-0.38959,0.36397,12.90566
2030797,-0.29292,0.59211,12.86447
2030814,0.25026,-0.34387,9.31657
2030829,-0.19531,0.31174,11.24231
2030844,-0.50629,0.23375,12.5303
2030859,0.29909,-0.38968,10.36381
2030875,0.28762,0.03038,11.38715
2030891,-0.38146,0.42454,13.96018
2030906,0.07471,-0.26229,11.32044
2030921,0.40525,0.02324,9.84429
2030937,-0.39689,0.50857,13.69424
2030953,0.26711,-0.24718,10.7656
2030967,0.80729,-0.13259,9.29461
2030981,-0.46337,0.6428,13.39083
2030995,-0.1469,0.06463,12.8944
2031011,0.6788,-0.3502,8.89278
2031027,-0.3412,0.59052,12.50452
2031042,-0.18461,0.32849,12.26953
2031057,0.65846,-0.25716,9.06754
2031073,-0.19004,0.4658,10.88848
2031090,-0.41593,0.15094,12.8326
2031104,0.31293,-0.25221,10.12009
2031119,-0.05039,0.35235,10.47971
2031136,-0.46074,0.18934,12.84946
2031152,0.40141,-0.26915,9.98594
2031167,0.10199,0.36658,9.79682
2031181,-0.68565,0.22729,13.63439
2031195,-0.02569,-0.14551,11.44406
2031210,0.54024,0.2756,9.5022
2031226,-0.56149,0.20114,12.83502
