trial_id,mass_g,trial,source_rows,start_timestamp_ms,end_timestamp_ms,duration_ms,median_sample_rate_hz,output_file
mass_0.00g_trial_01,0.0,1,707,49649.0,59905.0,10256.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_01.csv
mass_0.00g_trial_02,0.0,2,865,14441.0,26944.0,12503.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_02.csv
mass_0.00g_trial_03,0.0,3,860,3631.0,16041.0,12410.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_03.csv
mass_0.00g_trial_04,0.0,4,934,31959.0,45459.0,13500.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_04.csv
mass_0.00g_trial_05,0.0,5,706,62707.0,72910.0,10203.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_05.csv
mass_0.00g_trial_06,0.0,6,731,84515.0,95079.0,10564.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_06.csv
mass_0.00g_trial_07,0.0,7,717,106096.0,116489.0,10393.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_07.csv
mass_0.00g_trial_08,0.0,8,725,125969.0,136477.0,10508.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_08.csv
mass_0.00g_trial_09,0.0,9,695,150498.0,160570.0,10072.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_09.csv
mass_0.00g_trial_10,0.0,10,698,168016.0,178132.0,10116.0,71.42857142857143,data/cleaned/0.00g/mass_0.00g_trial_10.csv
mass_0.25g_trial_01,0.25,1,888,1587624.0,1601024.0,13400.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_01.csv
mass_0.25g_trial_02,0.25,2,795,1614036.0,1626011.0,11975.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_02.csv
mass_0.25g_trial_03,0.25,3,809,1636602.0,1648774.0,12172.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_03.csv
mass_0.25g_trial_04,0.25,4,755,1654408.0,1665795.0,11387.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_04.csv
mass_0.25g_trial_05,0.25,5,801,1675488.0,1687524.0,12036.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_05.csv
mass_0.25g_trial_06,0.25,6,720,1700996.0,1711907.0,10911.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_06.csv
mass_0.25g_trial_07,0.25,7,750,1723583.0,1734884.0,11301.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_07.csv
mass_0.25g_trial_08,0.25,8,692,1748631.0,1759056.0,10425.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_08.csv
mass_0.25g_trial_09,0.25,9,774,1768928.0,1780626.0,11698.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_09.csv
mass_0.25g_trial_10,0.25,10,689,1796804.0,1807198.0,10394.0,66.66666666666667,data/cleaned/0.25g/mass_0.25g_trial_10.csv
mass_0.50g_trial_01,0.5,1,754,1821869.0,1833222.0,11353.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_01.csv
mass_0.50g_trial_02,0.5,2,661,1839674.0,1849629.0,9955.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_02.csv
mass_0.50g_trial_03,0.5,3,770,1858378.0,1869969.0,11591.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_03.csv
mass_0.50g_trial_04,0.5,4,728,1880296.0,1891239.0,10943.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_04.csv
mass_0.50g_trial_05,0.5,5,785,1902232.0,1914067.0,11835.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_05.csv
mass_0.50g_trial_06,0.5,6,751,1928241.0,1939564.0,11323.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_06.csv
mass_0.50g_trial_07,0.5,7,839,1954482.0,1967144.0,12662.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_07.csv
mass_0.50g_trial_08,0.5,8,843,1972371.0,1985083.0,12712.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_08.csv
mass_0.50g_trial_09,0.5,9,779,2000874.0,2012628.0,11754.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_09.csv
mass_0.50g_trial_10,0.5,10,669,2027291.0,2037400.0,10109.0,66.66666666666667,data/cleaned/0.50g/mass_0.50g_trial_10.csv
mass_0.75g_trial_01,0.75,1,788,2048430.0,2060355.0,11925.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_01.csv
mass_0.75g_trial_02,0.75,2,675,2070299.0,2080460.0,10161.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_02.csv
mass_0.75g_trial_03,0.75,3,783,2096087.0,2107830.0,11743.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_03.csv
mass_0.75g_trial_04,0.75,4,866,2117021.0,2130130.0,13109.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_04.csv
mass_0.75g_trial_05,0.75,5,811,2135503.0,2147757.0,12254.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_05.csv
mass_0.75g_trial_06,0.75,6,761,2160234.0,2171719.0,11485.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_06.csv
mass_0.75g_trial_07,0.75,7,667,2179081.0,2189206.0,10125.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_07.csv
mass_0.75g_trial_08,0.75,8,853,2193778.0,2206669.0,12891.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_08.csv
mass_0.75g_trial_09,0.75,9,732,2216829.0,2227855.0,11026.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_09.csv
mass_0.75g_trial_10,0.75,10,739,2234519.0,2245661.0,11142.0,66.66666666666667,data/cleaned/0.75g/mass_0.75g_trial_10.csv
mass_1.00g_trial_01,1.0,1,784,2261376.0,2273205.0,11829.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_01.csv
mass_1.00g_trial_02,1.0,2,787,2278053.0,2289922.0,11869.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_02.csv
mass_1.00g_trial_03,1.0,3,764,2303519.0,2315080.0,11561.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_03.csv
mass_1.00g_trial_04,1.0,4,666,2322826.0,2332893.0,10067.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_04.csv
mass_1.00g_trial_05,1.0,5,707,2344877.0,2355593.0,10716.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_05.csv
mass_1.00g_trial_06,1.0,6,848,2363760.0,2376565.0,12805.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_06.csv
mass_1.00g_trial_07,1.0,7,771,2393441.0,2405096.0,11655.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_07.csv
mass_1.00g_trial_08,1.0,8,823,2413758.0,2426224.0,12466.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_08.csv
mass_1.00g_trial_09,1.0,9,676,2437684.0,2447871.0,10187.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_09.csv
mass_1.00g_trial_10,1.0,10,804,2456807.0,2468971.0,12164.0,66.66666666666667,data/cleaned/1.00g/mass_1.00g_trial_10.csv
