trial_id,mass_g,split,selection_seed
mass_0.00g_trial_01,0.0,test,42
mass_0.00g_trial_02,0.0,development,42
mass_0.00g_trial_03,0.0,development,42
mass_0.00g_trial_04,0.0,development,42
mass_0.00g_trial_05,0.0,development,42
mass_0.00g_trial_06,0.0,development,42
mass_0.00g_trial_07,0.0,development,42
mass_0.00g_trial_08,0.0,test,42
mass_0.00g_trial_09,0.0,development,42
mass_0.00g_trial_10,0.0,development,42
mass_0.25g_trial_01,0.25,development,42
mass_0.25g_trial_02,0.25,development,42
mass_0.25g_trial_03,0.25,development,42
mass_0.25g_trial_04,0.25,test,42
mass_0.25g_trial_05,0.25,test,42
mass_0.25g_trial_06,0.25,development,42
mass_0.25g_trial_07,0.25,development,42
mass_0.25g_trial_08,0.25,development,42
mass_0.25g_trial_09,0.25,development,42
mass_0.25g_trial_10,0.25,development,42
mass_0.50g_trial_01,0.5,test,42
mass_0.50g_trial_02,0.5,development,42
mass_0.50g_trial_03,0.5,development,42
mass_0.50g_trial_04,0.5,development,42
mass_0.50g_trial_05,0.5,development,42
mass_0.50g_trial_06,0.5,development,42
mass_0.50g_trial_07,0.5,test,42
mass_0.50g_trial_08,0.5,development,42
mass_0.50g_trial_09,0.5,development,42
mass_0.50g_trial_10,0.5,development,42
mass_0.75g_trial_01,0.75,test,42
mass_0.75g_trial_02,0.75,development,42
mass_0.75g_trial_03,0.75,development,42
mass_0.75g_trial_04,0.75,development,42
mass_0.75g_trial_05,0.75,development,42
mass_0.75g_trial_06,0.75,test,42
mass_0.75g_trial_07,0.75,development,42
mass_0.75g_trial_08,0.75,development,42
mass_0.75g_trial_09,0.75,development,42
mass_0.75g_trial_10,0.75,development,42
mass_1.00g_trial_01,1.0,development,42
mass_1.00g_trial_02,1.0,development,42
mass_1.00g_trial_03,1.0,development,42
mass_1.00g_trial_04,1.0,development,42
mass_1.00g_trial_05,1.0,development,42
mass_1.00g_trial_06,1.0,development,42
mass_1.00g_trial_07,1.0,test,42
mass_1.00g_trial_08,1.0,test,42
mass_1.00g_trial_09,1.0,development,42
mass_1.00g_trial_10,1.0,development,42
