file,rows,duration_ms,sample_rate_hz,status,issues
data\cleaned\0.00g\mass_0.00g_trial_01.csv,707,10256.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_02.csv,865,12503.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_03.csv,860,12410.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_04.csv,934,13500.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_05.csv,706,10203.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_06.csv,731,10564.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_07.csv,717,10393.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_08.csv,725,10508.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_09.csv,695,10072.0,71.42857142857143,PASS,
data\cleaned\0.00g\mass_0.00g_trial_10.csv,698,10116.0,71.42857142857143,PASS,
data\cleaned\0.25g\mass_0.25g_trial_01.csv,888,13400.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_02.csv,795,11975.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_03.csv,809,12172.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_04.csv,755,11387.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_05.csv,801,12036.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_06.csv,720,10911.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_07.csv,750,11301.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_08.csv,692,10425.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_09.csv,774,11698.0,66.66666666666667,PASS,
data\cleaned\0.25g\mass_0.25g_trial_10.csv,689,10394.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_01.csv,754,11353.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_02.csv,661,9955.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_03.csv,770,11591.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_04.csv,728,10943.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_05.csv,785,11835.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_06.csv,751,11323.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_07.csv,839,12662.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_08.csv,843,12712.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_09.csv,779,11754.0,66.66666666666667,PASS,
data\cleaned\0.50g\mass_0.50g_trial_10.csv,669,10109.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_01.csv,788,11925.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_02.csv,675,10161.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_03.csv,783,11743.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_04.csv,866,13109.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_05.csv,811,12254.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_06.csv,761,11485.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_07.csv,667,10125.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_08.csv,853,12891.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_09.csv,732,11026.0,66.66666666666667,PASS,
data\cleaned\0.75g\mass_0.75g_trial_10.csv,739,11142.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_01.csv,784,11829.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_02.csv,787,11869.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_03.csv,764,11561.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_04.csv,666,10067.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_05.csv,707,10716.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_06.csv,848,12805.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_07.csv,771,11655.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_08.csv,823,12466.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_09.csv,676,10187.0,66.66666666666667,PASS,
data\cleaned\1.00g\mass_1.00g_trial_10.csv,804,12164.0,66.66666666666667,PASS,
