trial_id,outer_fold
mass_0.00g_trial_02,1
mass_0.00g_trial_03,4
mass_0.00g_trial_04,1
mass_0.00g_trial_05,3
mass_0.00g_trial_06,3
mass_0.00g_trial_07,2
mass_0.00g_trial_09,5
mass_0.00g_trial_10,2
mass_0.25g_trial_01,4
mass_0.25g_trial_02,2
mass_0.25g_trial_03,2
mass_0.25g_trial_06,1
mass_0.25g_trial_07,1
mass_0.25g_trial_08,3
mass_0.25g_trial_09,3
mass_0.25g_trial_10,5
mass_0.50g_trial_02,1
mass_0.50g_trial_03,2
mass_0.50g_trial_04,5
mass_0.50g_trial_05,4
mass_0.50g_trial_06,1
mass_0.50g_trial_08,5
mass_0.50g_trial_09,4
mass_0.50g_trial_10,3
mass_0.75g_trial_02,5
mass_0.75g_trial_03,1
mass_0.75g_trial_04,2
mass_0.75g_trial_05,3
mass_0.75g_trial_07,4
mass_0.75g_trial_08,3
mass_0.75g_trial_09,2
mass_0.75g_trial_10,4
mass_1.00g_trial_01,5
mass_1.00g_trial_02,3
mass_1.00g_trial_03,5
mass_1.00g_trial_04,4
mass_1.00g_trial_05,1
mass_1.00g_trial_06,2
mass_1.00g_trial_09,1
mass_1.00g_trial_10,4
