feature,eta_squared_development,missing_values,unique_values,standard_deviation,max_absolute_correlation,redundant_with_selected,recommended,reason
magnitude_mean,0.8136419281106152,0,200,0.3654557303813009,0.9899708575432822,,True,selected
ay_std,0.7805653984796576,0,200,0.12956564691011072,1.0,,True,selected
ay_rms_centered,0.7805653984796576,0,200,0.12956564691011072,1.0,ay_std,False,redundant_with_ay_std
ay_mean_abs_centered,0.7728447035627432,0,200,0.11129840035612297,0.9954386115310355,ay_std,False,redundant_with_ay_std
az_mean_abs_centered,0.7647177198704692,0,200,0.30941576114886993,0.9941730216854574,magnitude_mean,False,redundant_with_magnitude_mean
az_std,0.7616917600378208,0,200,0.36822365544550706,1.0,magnitude_mean,False,redundant_with_magnitude_mean
az_rms_centered,0.7616917600378208,0,200,0.36822365544550706,1.0,magnitude_mean,False,redundant_with_magnitude_mean
az_peak_abs_centered,0.6931887039813187,0,200,0.9326759108310468,0.9748325804227466,,True,selected
az_peak_to_peak,0.6879605325234939,0,190,1.6698490115823317,0.9748325804227466,az_peak_abs_centered,False,redundant_with_az_peak_abs_centered
ax_std,0.6863987731891888,0,200,0.15934759252078032,1.0,,True,selected
ax_rms_centered,0.6863987731891888,0,200,0.15934759252078032,1.0,ax_std,False,redundant_with_ax_std
ax_mean_abs_centered,0.6718757999517025,0,200,0.1370893362389827,0.996671046244063,ax_std,False,redundant_with_ax_std
ay_median_abs_deviation,0.6554487581243461,0,168,0.09754170072714397,0.9538179750938484,,True,selected
magnitude_std,0.6286776492573533,0,200,0.18608384301734363,1.0,,True,selected
magnitude_rms_centered,0.6286776492573533,0,200,0.18608384301734363,1.0,magnitude_std,False,redundant_with_magnitude_std
magnitude_spectral_entropy,0.6268409872526451,0,200,0.0901077987408181,0.6153141873737383,,True,selected
magnitude_spectral_centroid_hz,0.6117323450831272,0,200,3.581349485494702,0.7656524421315765,,True,selected
ax_median_abs_deviation,0.6112937074487896,0,170,0.1220781665767597,0.9703600936988142,ax_std,False,redundant_with_ax_std
az_median_abs_deviation,0.5986766524862029,0,192,0.3133316743020119,0.8965999845676521,,True,selected
magnitude_mean_abs_centered,0.5970568307510075,0,200,0.15853069029872005,0.9939367853900811,magnitude_std,False,redundant_with_magnitude_std
ax_peak_to_peak,0.5873725984176633,0,181,0.741117440352447,0.9675515424877256,,True,selected
magnitude_median_abs_deviation,0.5855059098776733,0,200,0.1701953564246548,0.971319383995052,magnitude_std,False,redundant_with_magnitude_std
ay_peak_to_peak,0.580099448320296,0,176,0.6321079727554583,0.9673083839278017,,True,selected
magnitude_peak_to_peak,0.5778000604841563,0,200,0.9919086220026374,0.9757697090137776,az_peak_abs_centered,False,redundant_with_az_peak_abs_centered
axis_correlation_xz,0.5088910521423533,0,200,0.4715714991365929,0.5882908973893779,,True,selected
axis_correlation_yz,0.5079707056626837,0,200,0.4835255002572684,0.5804971199057323,,True,selected
ax_peak_abs_centered,0.4389949342220343,0,200,0.48726746321653785,0.9675515424877256,ax_peak_to_peak,False,redundant_with_ax_peak_to_peak
magnitude_peak_abs_centered,0.43047369621237475,0,200,0.742206177384528,0.9757697090137776,,True,selected
ay_peak_abs_centered,0.41106105299399176,0,200,0.43370835265955765,0.9673083839278017,ay_peak_to_peak,False,redundant_with_ay_peak_to_peak
az_relative_power_15_30_hz,0.4103599378072941,0,200,0.09992184384758411,0.900953828865778,,True,selected
az_relative_power_5_15_hz,0.3917384807035232,0,200,0.0679423353097477,0.900953828865778,,False,below_feature_limit
az_relative_power_0_5_hz,0.33090765639846503,0,200,0.04495372231796258,0.6870669761167765,,False,below_feature_limit
magnitude_dominant_frequency_hz,0.32970223445305075,0,190,8.185101209176365,0.7656524421315765,,False,below_feature_limit
ax_relative_power_0_5_hz,0.32712429354833367,0,200,0.038996618264077125,0.7092725220581374,,False,below_feature_limit
ay_relative_power_0_5_hz,0.32223556745423654,0,200,0.039126805057172094,0.730464915239628,,False,below_feature_limit
az_spectral_entropy,0.28633453777663354,0,200,0.1341473436062753,0.7669869973658743,,False,below_feature_limit
ax_relative_power_15_30_hz,0.26700834307583987,0,200,0.0871539487139347,0.9101862139673006,,False,below_feature_limit
axis_correlation_xy,0.25845564829408396,0,200,0.37043330677276415,0.4487745839059256,,False,below_feature_limit
ax_relative_power_5_15_hz,0.24358168987664064,0,200,0.058185908272088034,0.9101862139673006,,False,below_feature_limit
az_crest_factor,0.22436601375976822,0,200,0.21954852509289807,0.9092071953567371,,False,below_feature_limit
magnitude_relative_power_5_15_hz,0.22238799552370636,0,200,0.17781609972585516,0.7308707138537575,,False,below_feature_limit
magnitude_relative_power_0_5_hz,0.21023157700834955,0,200,0.0658779459060135,0.398839935707406,,False,below_feature_limit
ax_dominant_frequency_hz,0.2078246785851809,0,184,3.6342387191336876,0.9960159398801317,,False,below_feature_limit
ax_skewness,0.20336945193990383,0,200,0.3205240857626261,0.323061245170036,,False,below_feature_limit
az_dominant_frequency_hz,0.20195060577933535,0,189,3.547229873310987,0.9960159398801317,,False,below_feature_limit
ay_dominant_frequency_hz,0.19509623876638874,0,185,3.6040845874115117,0.9955232280473323,,False,below_feature_limit
ay_relative_power_15_30_hz,0.1818916789635244,0,200,0.07460834889368052,0.8286166113161844,,False,below_feature_limit
az_skewness,0.1809038379437756,0,200,0.3139568462322378,0.30771029744354406,,False,below_feature_limit
ay_spectral_centroid_hz,0.15922664250809243,0,200,2.376870657962533,0.8878471123492434,,False,below_feature_limit
