model,outer_fold,inner_best_macro_f1,best_params,selected_feature_count,window_macro_f1,window_balanced_accuracy,window_accuracy,window_recall_0.00g,window_recall_0.25g,window_recall_0.50g,window_recall_0.75g,window_recall_1.00g,trial_macro_f1,trial_balanced_accuracy,trial_accuracy,trial_recall_0.00g,trial_recall_0.25g,trial_recall_0.50g,trial_recall_0.75g,trial_recall_1.00g
logistic_regression,1,0.6330591259109565,"{""model__C"": 10.0, ""selector__max_features"": 8}",8,0.23484848484848486,0.22000000000000003,0.24444444444444444,0.6,0.4,0.0,0.0,0.1,0.19047619047619047,0.2,0.2222222222222222,0.5,0.5,0.0,0.0,0.0
svm_rbf,1,0.6078794244970716,"{""model__C"": 0.5, ""selector__max_features"": 8}",8,0.3015873015873015,0.36000000000000004,0.3333333333333333,0.8,0.4,0.0,0.6,0.0,0.38,0.5,0.4444444444444444,1.0,0.5,0.0,1.0,0.0
random_forest,1,0.6252138441268876,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""selector__max_features"": 12}",12,0.3569230769230769,0.42000000000000004,0.4,1.0,0.5,0.0,0.6,0.0,0.38,0.5,0.4444444444444444,1.0,0.5,0.0,1.0,0.0
gradient_boosting,1,0.5877854976137975,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""selector__max_features"": 12}",12,0.3569230769230769,0.42000000000000004,0.4,1.0,0.5,0.0,0.6,0.0,0.38,0.5,0.4444444444444444,1.0,0.5,0.0,1.0,0.0
logistic_regression,2,0.6725791298073907,"{""model__C"": 0.1, ""selector__max_features"": 15}",15,0.520952380952381,0.64,0.575,1.0,0.4,0.8,0.0,1.0,0.5666666666666667,0.7,0.625,1.0,0.5,1.0,0.0,1.0
svm_rbf,2,0.628131660888013,"{""model__C"": 0.5, ""selector__max_features"": 15}",15,0.419047619047619,0.42000000000000004,0.45,1.0,0.5,0.6,0.0,0.0,0.4666666666666666,0.5,0.5,1.0,0.5,1.0,0.0,0.0
random_forest,2,0.6139594333227609,"{""model__max_depth"": null, ""model__min_samples_leaf"": 3, ""selector__max_features"": 15}",15,0.5428571428571429,0.6599999999999999,0.6,1.0,0.5,0.8,0.0,1.0,0.5666666666666667,0.7,0.625,1.0,0.5,1.0,0.0,1.0
gradient_boosting,2,0.5817839937839938,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""selector__max_features"": 15}",15,0.47719298245614034,0.64,0.55,1.0,0.2,1.0,0.0,1.0,0.4,0.6,0.5,1.0,0.0,1.0,0.0,1.0
logistic_regression,3,0.47909155299315476,"{""model__C"": 0.1, ""selector__max_features"": 15}",15,0.7011832611832611,0.72,0.75,1.0,1.0,1.0,0.4,0.2,0.7,0.7,0.75,1.0,1.0,1.0,0.5,0.0
svm_rbf,3,0.46580647800475383,"{""model__C"": 2.0, ""selector__max_features"": 15}",15,0.638961038961039,0.6599999999999999,0.7,1.0,1.0,1.0,0.3,0.0,0.7,0.7,0.75,1.0,1.0,1.0,0.5,0.0
random_forest,3,0.4605769664187514,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 1, ""selector__max_features"": 8}",8,0.7163398692810456,0.74,0.725,1.0,0.7,0.8,0.4,0.8,0.8666666666666666,0.9,0.875,1.0,1.0,1.0,0.5,1.0
gradient_boosting,3,0.4488457575562839,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""selector__max_features"": 15}",15,0.6689177489177489,0.72,0.725,1.0,1.0,1.0,0.2,0.4,0.5333333333333333,0.6,0.625,1.0,1.0,1.0,0.0,0.0
logistic_regression,4,0.5130466317308422,"{""model__C"": 0.1, ""selector__max_features"": 15}",15,0.43247863247863244,0.52,0.4,1.0,1.0,0.0,0.1,0.5,0.39999999999999997,0.5,0.375,1.0,1.0,0.0,0.0,0.5
svm_rbf,4,0.4803008322087269,"{""model__C"": 2.0, ""selector__max_features"": 12}",12,0.6282258064516129,0.6599999999999999,0.575,1.0,1.0,0.5,0.0,0.8,0.6476190476190476,0.7,0.625,1.0,1.0,0.5,0.0,1.0
random_forest,4,0.5164268561675682,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""selector__max_features"": 12}",12,0.6277777777777778,0.6599999999999999,0.6,1.0,0.8,0.5,0.0,1.0,0.6666666666666666,0.7,0.625,1.0,1.0,0.5,0.0,1.0
gradient_boosting,4,0.5873450049262743,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""selector__max_features"": 15}",15,0.4618181818181818,0.5,0.375,1.0,1.0,0.0,0.0,0.5,0.48,0.5,0.375,1.0,1.0,0.0,0.0,0.5
logistic_regression,5,0.5753100501859756,"{""model__C"": 1.0, ""selector__max_features"": 12}",12,0.653623188405797,0.72,0.6,1.0,1.0,0.5,1.0,0.1,0.6133333333333333,0.7,0.5714285714285714,1.0,1.0,0.5,1.0,0.0
svm_rbf,5,0.5009729432933767,"{""model__C"": 0.5, ""selector__max_features"": 8}",8,0.41666666666666663,0.6,0.42857142857142855,1.0,1.0,0.0,1.0,0.0,0.4133333333333333,0.6,0.42857142857142855,1.0,1.0,0.0,1.0,0.0
random_forest,5,0.5853364935717876,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""selector__max_features"": 15}",15,0.6309523809523808,0.7,0.5714285714285714,1.0,1.0,0.4,1.0,0.1,0.6133333333333333,0.7,0.5714285714285714,1.0,1.0,0.5,1.0,0.0
gradient_boosting,5,0.5789325198365446,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""selector__max_features"": 8}",8,0.5736185383244207,0.6799999999999999,0.5428571428571428,1.0,1.0,0.1,1.0,0.3,0.5666666666666667,0.7,0.5714285714285714,1.0,1.0,0.0,1.0,0.5
