model,feature,folds_selected
gradient_boosting,ax_peak_to_peak,5
gradient_boosting,ax_skewness,1
gradient_boosting,ax_std,5
gradient_boosting,axis_correlation_xz,3
gradient_boosting,axis_correlation_yz,3
gradient_boosting,ay_mean_abs_centered,1
gradient_boosting,ay_median_abs_deviation,4
gradient_boosting,ay_peak_to_peak,4
gradient_boosting,ay_relative_power_0_5_hz,1
gradient_boosting,ay_std,4
gradient_boosting,az_median_abs_deviation,4
gradient_boosting,az_peak_abs_centered,4
gradient_boosting,az_peak_to_peak,1
gradient_boosting,az_relative_power_5_15_hz,2
gradient_boosting,magnitude_mean,5
gradient_boosting,magnitude_median_abs_deviation,1
gradient_boosting,magnitude_peak_abs_centered,2
gradient_boosting,magnitude_peak_to_peak,1
gradient_boosting,magnitude_spectral_centroid_hz,4
gradient_boosting,magnitude_spectral_entropy,5
gradient_boosting,magnitude_std,5
logistic_regression,ax_peak_to_peak,5
logistic_regression,ax_skewness,1
logistic_regression,ax_std,5
logistic_regression,axis_correlation_xz,2
logistic_regression,axis_correlation_yz,3
logistic_regression,ay_mean_abs_centered,1
logistic_regression,ay_median_abs_deviation,4
logistic_regression,ay_peak_to_peak,4
logistic_regression,ay_relative_power_0_5_hz,1
logistic_regression,ay_std,4
logistic_regression,az_median_abs_deviation,5
logistic_regression,az_peak_abs_centered,4
logistic_regression,az_peak_to_peak,1
logistic_regression,az_relative_power_5_15_hz,2
logistic_regression,magnitude_mean,5
logistic_regression,magnitude_median_abs_deviation,1
logistic_regression,magnitude_peak_abs_centered,3
logistic_regression,magnitude_peak_to_peak,1
logistic_regression,magnitude_spectral_centroid_hz,5
logistic_regression,magnitude_spectral_entropy,4
logistic_regression,magnitude_std,4
random_forest,ax_peak_to_peak,4
random_forest,ax_std,5
random_forest,axis_correlation_xz,3
random_forest,axis_correlation_yz,3
random_forest,ay_mean_abs_centered,1
random_forest,ay_median_abs_deviation,4
random_forest,ay_peak_to_peak,4
random_forest,ay_std,4
random_forest,az_median_abs_deviation,4
random_forest,az_peak_abs_centered,4
random_forest,az_peak_to_peak,1
random_forest,az_relative_power_15_30_hz,1
random_forest,az_relative_power_5_15_hz,1
random_forest,magnitude_mean,5
random_forest,magnitude_median_abs_deviation,1
random_forest,magnitude_peak_abs_centered,1
random_forest,magnitude_peak_to_peak,1
random_forest,magnitude_spectral_centroid_hz,5
random_forest,magnitude_spectral_entropy,5
random_forest,magnitude_std,5
svm_rbf,ax_peak_to_peak,5
svm_rbf,ax_std,5
svm_rbf,axis_correlation_xz,2
svm_rbf,axis_correlation_yz,3
svm_rbf,ay_mean_abs_centered,1
svm_rbf,ay_median_abs_deviation,4
svm_rbf,ay_peak_to_peak,3
svm_rbf,ay_std,4
svm_rbf,az_median_abs_deviation,4
svm_rbf,az_peak_abs_centered,4
svm_rbf,az_peak_to_peak,1
svm_rbf,az_relative_power_5_15_hz,2
svm_rbf,magnitude_mean,5
svm_rbf,magnitude_median_abs_deviation,1
svm_rbf,magnitude_peak_abs_centered,1
svm_rbf,magnitude_peak_to_peak,1
svm_rbf,magnitude_spectral_centroid_hz,4
svm_rbf,magnitude_spectral_entropy,4
svm_rbf,magnitude_std,4
