feature,eta_squared_development,missing_values,unique_values,standard_deviation,max_absolute_correlation,redundant_with_selected,recommended,reason
magnitude_mean,0.8136419281106152,0,200,0.3654557303813009,0.9899708575432822,,True,selected
ay_std,0.7805653984796576,0,200,0.12956564691011072,1.0,,True,selected
az_peak_abs_centered,0.6931887039813187,0,200,0.9326759108310468,0.9748325804227466,,True,selected
ax_std,0.6863987731891888,0,200,0.15934759252078032,1.0,,True,selected
ay_median_abs_deviation,0.6554487581243461,0,168,0.09754170072714397,0.9538179750938484,,True,selected
magnitude_std,0.6286776492573533,0,200,0.18608384301734363,1.0,,True,selected
magnitude_spectral_entropy,0.6268409872526451,0,200,0.0901077987408181,0.6153141873737383,,True,selected
magnitude_spectral_centroid_hz,0.6117323450831272,0,200,3.581349485494702,0.7656524421315765,,True,selected
az_median_abs_deviation,0.5986766524862029,0,192,0.3133316743020119,0.8965999845676521,,True,selected
ax_peak_to_peak,0.5873725984176633,0,181,0.741117440352447,0.9675515424877256,,True,selected
ay_peak_to_peak,0.580099448320296,0,176,0.6321079727554583,0.9673083839278017,,True,selected
axis_correlation_xz,0.5088910521423533,0,200,0.4715714991365929,0.5882908973893779,,True,selected
axis_correlation_yz,0.5079707056626837,0,200,0.4835255002572684,0.5804971199057323,,True,selected
magnitude_peak_abs_centered,0.43047369621237475,0,200,0.742206177384528,0.9757697090137776,,True,selected
az_relative_power_15_30_hz,0.4103599378072941,0,200,0.09992184384758411,0.900953828865778,,True,selected
